Scope,Release,Business Unit,Tower Name,Sub-Tower,Planning Area,Descoped,PMO Comments,Domain,SCP Object ID,Object Description,Test Object Group,Object Type,Design End Date,Baseline Dev End Date,Trend Dev End Date (User-Override),Dev Planned End Date (Linked to Sprint Plan),Trend Dev End Date,Dev Completion Status,Dev PMO Comments,Applicable for FUT,FUT Comments,Planned FUT Date,Trend FUT End Date (User-Override),Trend FUT Date,FUT Demo/Playback Status,FUT Approval,FUT Linked Test Details,FUT Approver,Trend Build End Date (based on dev & FUT complete),Impacted by Legal Entity Extension,LE Baseline Dev End Date,LE Dev Planned End Date (Linked to Sprint Plan),LE Trend Dev End Date (User-Override),LE Trend Dev End Date,Sprint Number - LE Trend Dev End Date,LE Dev Completion Status,LE Trend FUT End Date (User-Override),LE Trend FUT End Date,LE FUT Demo/Playback Status,LE Trend Build End Date (dev & FUT complete),LE FUT Planned End Date (Linked to Sprint Plan),Archive Object ID_2,Complexity (H/M/L),Change Request ID,Design Opens (Y/N),Design Open Row ID,Intel Comments,SCP Predecessor Object ID,Predecessor Description,SCP Successor Object ID,Successor Description,STD vs Non-Std,FS Responsible Team,Dev Responsible Team,Technical Complexity,ECA Involved?,ECA Object  ID,ECA Object Description,ECA Dependency Tracker Link,Boundary App Involved?,Boundary App IAPM ID,Boundary Application Name,B-App Dependency Tracker Link,Sprint 19 - Delay Status,Impact Assessment (Formula),Latest Dev End Date from Build Plan,Helper - Absolute Row # from Build Plan,Build Plan Stage,Sprint Number - Baseline Dev End Date,Sprint Number - Trend Dev End Date,Object - Sprint Movement,Sprint Number - Based on Trend Dev End Date(10/24),Object - Sprint Movement (After 10/24),Tagged to Sprint 18,Tagged to Sprint 19,Tagged to Sprint 20,Tagged to Sprint 21,Tagged to Sprint 22,Tagged to Sprint 23,"Tagged to Sprint 23, Spilling to S23+",Tagged to S23+,Objects Approved beyond WW02,Source System,Target System,FUT Actual End Date (Manual),FUT Approval Date,Object Completion Sprint,Dev Planned End Date (Linked to Sprint Plan)S18-20,Dev Planned End Date (Linked to Sprint Plan)S21-24,FUT Planned Start Date (Linked to Sprint Plan),FUT Planned End Date (Linked to Sprint Plan),FUT Plan Start Date (Linked to Sprint Plan)S18-S20,FUT Planned End Date (Linked to Sprint Plan)S18-20,FUT Plan Start Date (Linked to Sprint Plan)S21-S24,FUT Planned End Date (Linked to Sprint Plan)S21-24,Created By,Created Date,Modified By,Modified Date,Max Dev End Date (FUT DB reference),Priority,Archive Object ID,Archived Object Description,GAP ID,Go live Critical,TUT Documentation Available?,TUT Complete,Sharepoint Link,Comments
IAO,03.R3,01.IP - Intel Product,SCP IP,SP,SP,,,BY,SCPIPSPRF0026,Transaction Data - Ingest FctOrder,"Transactional Data, Solver",02.Interface,,2025-09-12,,,2025-09-12,Completed,,Yes,,2026-01-23,2026-01-28,2026-01-28,Executed,Confirmed,"https://intel.sharepoint.com/:p:/r/sites/intelspinnakerdeloitteiao/Shared%20Documents/IP%20Supply%20and%20Materials%20Planning/3%20Development,%20Build_Test/FUT_TUT_CUT/FUT/Supply%20%26%20Material%20Planning%20Planning%20Playback%20Records/IBP_ESP/R3%20Interface%20load%20Playback-Group%201.pptx?d=w5f9e67a961d34576beb44383c62abb3d&csf=1&web=1&e=ZVbb92",,2026-01-28,,,,,,,,,,,,,"IPBYSP0061, IPBYSP0062",Medium,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,Not a part of current Sprint 19,No Impact,,0,,Sprint 17,Sprint 17,No change,Sprint 17,No change,No,No,No,No,Yes,No,No,No,,,,,,,,,2026-01-12,2026-01-23,,,2026-01-12,2026-01-23,aybahl@deloitte.com,2025-09-09T14:01:01Z,bbanavath@deloitte.com,2026-02-19T15:56:48Z,2026-01-28,Missing,"IPBYSP0061, IPBYSP0062",Transaction Data - Ingest FctOrder,,,,,,
IAO,03.R3,01.IP - Intel Product,SCP IP,SP,SP,,,BY,SCPIPSPRF0027,Transaction Data - Ingest DFU,Transactional Data,02.Interface,,2025-09-12,,,2025-09-12,Completed,,Yes,,2026-01-23,2026-01-28,2026-01-28,Executed,Confirmed,"https://intel.sharepoint.com/:p:/r/sites/intelspinnakerdeloitteiao/Shared%20Documents/IP%20Supply%20and%20Materials%20Planning/3%20Development,%20Build_Test/FUT_TUT_CUT/FUT/Supply%20%26%20Material%20Planning%20Planning%20Playback%20Records/IBP_ESP/R3%20Interface%20load%20Playback-Group%201.pptx?d=w5f9e67a961d34576beb44383c62abb3d&csf=1&web=1&e=ZVbb92",,2026-01-28,,,,,,,,,,,,,"IPBYSP0063, IPBYSP0064",Medium,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,Not a part of current Sprint 19,No Impact,,0,,Sprint 17,Sprint 17,No change,Sprint 17,No change,No,No,No,No,Yes,No,No,No,,,,,,,,,2026-01-12,2026-01-23,,,2026-01-12,2026-01-23,bbanavath@deloitte.com,2025-09-09T14:35:59Z,bbanavath@deloitte.com,2026-02-19T15:56:48Z,2026-01-28,Missing,"IPBYSP0063, IPBYSP0064",Transaction Data - Ingest DFU,,,,,,
IAO,03.R3,01.IP - Intel Product,SCP IP,SP,SP,,,BY,SCPIPSPRF0028,Transaction Data - Ingest DFUToSKU,Transactional Data,02.Interface,,2025-09-12,,,2025-09-12,Completed,,Yes,,2026-01-23,2026-01-28,2026-01-28,Executed,Confirmed,"https://intel.sharepoint.com/:p:/r/sites/intelspinnakerdeloitteiao/Shared%20Documents/IP%20Supply%20and%20Materials%20Planning/3%20Development,%20Build_Test/FUT_TUT_CUT/FUT/Supply%20%26%20Material%20Planning%20Planning%20Playback%20Records/IBP_ESP/R3%20Interface%20load%20Playback-Group%201.pptx?d=w5f9e67a961d34576beb44383c62abb3d&csf=1&web=1&e=ZVbb92",,2026-01-28,,,,,,,,,,,,,"IPBYSP0065, IPBYSP0066",Medium,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,Not a part of current Sprint 19,No Impact,,0,,Sprint 17,Sprint 17,No change,Sprint 17,No change,No,No,No,No,Yes,No,No,No,,,,,,,,,2026-01-12,2026-01-23,,,2026-01-12,2026-01-23,bbanavath@deloitte.com,2025-09-09T14:35:59Z,bbanavath@deloitte.com,2026-02-19T15:56:48Z,2026-01-28,Missing,"IPBYSP0065, IPBYSP0066",Transaction Data - Ingest DFUToSKU,,,,,,
IAO,03.R3,01.IP - Intel Product,SCP IP,SP,SP,,,BY,SCPIPSPRF0029,Transaction Data - Ingest DFUToSKUFct,Transactional Data,02.Interface,,2025-09-12,,,2025-09-12,Completed,,Yes,,2026-01-23,2026-01-28,2026-01-28,Executed,Confirmed,"https://intel.sharepoint.com/:p:/r/sites/intelspinnakerdeloitteiao/Shared%20Documents/IP%20Supply%20and%20Materials%20Planning/3%20Development,%20Build_Test/FUT_TUT_CUT/FUT/Supply%20%26%20Material%20Planning%20Planning%20Playback%20Records/IBP_ESP/R3%20Interface%20load%20Playback-Group%201.pptx?d=w5f9e67a961d34576beb44383c62abb3d&csf=1&web=1&e=ZVbb92",,2026-01-28,,,,,,,,,,,,,"IPBYSP0068, IPBYSP0069",Medium,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,Not a part of current Sprint 19,No Impact,,0,,Sprint 17,Sprint 17,No change,Sprint 17,No change,No,No,No,No,Yes,No,No,No,,,,,,,,,2026-01-12,2026-01-23,,,2026-01-12,2026-01-23,bbanavath@deloitte.com,2025-09-09T14:35:59Z,bbanavath@deloitte.com,2026-02-19T15:56:48Z,2026-01-28,Missing,"IPBYSP0068, IPBYSP0069",Transaction Data - Ingest DFUToSKUFct,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0040,FSpecs - ITEM,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0300,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0300,FSpecs - ITEM,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0041,FSpecs - LOC,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0301,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0301,FSpecs - LOC,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0042,FSpecs - SKU,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0302,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0302,FSpecs - SKU,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0043,FSpecs - PROD ROUTES,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0303,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0303,FSpecs - PROD ROUTES,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0044,FSpecs - TRANS ROUTES,Master Data,02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0304,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0304,FSpecs - TRANS ROUTES,,,,,,
IAO,03.R3,02.IF - Intel Foundry,SCP IF,SP,SP,True,SP PDH WRICEF objects are tracked in PDH tracker. Marking as De-Scoped in WRICEF tracker,PDH,SCPIFSPRF0045,FSpecs - ON HAND ON ORDER,"Transactional Data, Solver",02.Interface,,,,,,,Object is Descoped,No,,N/A,,N/A,,,,,,,,,,,,,,,,,,IFPDHSP0305,,,,,,,,,,,,,,N,,,Dependency Tracker Link,N,,,Dependency Tracker Link,End date is missing,No Impact,,0,,,,No change,,No change,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,bbanavath@deloitte.com,2025-09-09T14:35:59Z,jon.benoist@intel.com,2026-02-11T19:30:08Z,N/A,Missing,IFPDHSP0305,FSpecs - ON HAND ON ORDER,,,,,,
