Approved Release [PMO Only],Intercepting Testing Cycle,Change ID (AC),Approved/Denied,Next Steps,Program Scope,Requested Releases,"Priority (Very High, High, Medium, Low)",Requestor Team*,Requestor Sub-team*,Logistics?,Impacted Towers/Horizontals (Multiple Selection),Change Request Owner,Change Request IT Owner For The Function,Project Manager,Related Open Design Topic,Related CR,Related Risk/Issue [RAID #],Related KDD [RAID #],ServiceNow Reference,ServiceNow Delivery Status,B-App IAPM ID,B-App IAPM Name,Special Projects,Change Title*,Change Description,Rationale for the Change,Impact to Schedule,Ready for PMO Review?,Core vs Non-Core Functionality,Link to Approval Email,Link to Change Request Review Deck,CR Category,Type of Change [For Program Releases - R1-R5],Impacted L3's,Will have BPM Standards (BIC/WIKI) Updates?,Complexity,Technical Effort Estimation,Design Complexity Value,Dollar Impact (US Design Hours),Dollar Impact ($),Functional Effort,CDI Tech Effort [SCP Build],PDH Tech Effort [SCP Build] hrs,BY Tech Effort [SCP Build] hrs,ECA Tech Effort [SCP Build] hrs,Config Effort [ERP Build],Tech Effort [ERP Build],ECA Effort [ERP Build],Data Migration [ERP Build],Security Effort [ERP Build],BApps Tech Effort,Total SCP Tech Effort,Total ERP Tech Effort,ERP Dev Team [For Build CR's Only],Added/Pushed Object ID's?,Dev Team of New Object,Count of New Objects,Added Object ID's,RICEFW Console ID,S4 Object Tracker,Count of New S4 Objects,Deloitte ECA,Count of New Deloitte ECA Objects,Intel ECA,Count of New Intel ECA Objects,Count of New ECA Objects,SCP - RICEFW,Count of SCP RICEFW,SCP - PDH,Count of SCP - PDH,Count of New SCP Objects,Changed Build Objects,Count of Changed Objects,Changed S4 RICEFW's,Count of Changed S4,Changed ECA ID's,Count of Changed ECA,Changed SCP ID's,Count of Changed SCP,Descoped RICEFW ID's,Replacement Object,Planned FUT Complete date,Count of Descoped RICEFW's,Change Status,Need Core Leadership approval? [PMO],Need MRC Approval? [PMO],Review Date with Change Ingestion,Notes from Change Ingestion,2nd Review Date with CCB,Notes from 2nd CCB Review,Actual Review Date with CL [Stage 1],Notes from Core Leadership Review [Stage 1],Actual Review Date with CL [Stage 2],Notes from Core Leadership Review [Stage 2],Review Date with MRC,Notes From MRC Review,Comments for Rejection/Deferral,Design vs Build,Approval Level,Leadership Approval Date,Month of Approval,Final Month of Approval,Month of Creation,Creation Date,Days Open,Aging,Created By,Reconciliation Done?,For Future Release?,Completion Status (Build CR),Completion Status (Object ID),Completion Status (Manual),Overall Completion,Added to Build CR Tracker,Applicable for R4
R1 (May 2025),R1,INT-CR0011,Approved,,ERP,"R1 (Release 1)
R2 (Release 2)
R3 (Release 3)
R4 (Release 4)",High,09A. Master Data,9A.3 Master Data - Customer,,"04. OTC IF
05. OTC IP
09A. Master Data
13. Security",renata.prokop@intel.com,,,,,,,,,,,,KDDDAT002 change decision to share customer BP between ProdCo and TMGF,One of the 2 decisions in KDDDAT002 calls for the sharing of unique IDs for customers and suppliers across TMGF and ProdCo.  We’d like to have separate IDs for customer only.,"As we’ve gone through detailed design, its become clear that forcing the 2 to share IDs will add complexity to MDG and to the business processes, and there is no systemic way to keep this data fully secret from each side when IDs are shared.  When IDs are being shared, each side of Intel has to share all of the General Data attributes that include name, address, bank account, industry code, customer contacts.  It would not be possible to hide which customers are TMGF from ProdCo",,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/Data/INT-CR0011_Data_CR%20Deck_template.pptx?d=w19f4c3f3ca5c45039f3318f688caf6ca&csf=1&web=1&e=ihxEyo,,1. Process Scope / Design Change,,,Medium,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,10. OSC/CL Approved (end status),Yes,No,2024-07-18 00:00:00,,,,2024-07-22 00:00:00,,,,,,,Design,CL/OSC,2024-07-22 00:00:00,"07, 2024","07, 2024","02, 2024",2024-02-23 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0013,Approved,,ERP,R3 (Release 3),High,03. FPR,3.9 FPR - Treasury and Cash Management,,"03. FPR
11. Technology
12. Infrastructure
13. Security
14. OCM
15. Cutover
16. Testing
17. B-App",Shane Bethune,,,,,,,,,,,,Change in Treasury Scope,Add APM and IHB-POBO in Scope,"Intel Treasury Business decided to continue FX and Investment Management in Quantum and move all Inter-Company transactions including Non-IHC Loans to SAP. Business intends to channelize all Bank communications through single Channel to optimize cost and efforts of maintaining multiple Bank connectivities, hence Advance Payment Management will be used to achieve the objective. Payment on Behalf (POBO) functionality will be used for AP Payments in US and Israel to optimize Bank Accounts.",,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FPR/INTCR0013_FPR_CR.pptx?d=wab5fa74c7bbb4f6c946d95d6856db11d&csf=1&web=1&e=YVw3XH,,1. Process Scope / Design Change,,,Medium,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,04. Tower/Horizontal Approved (end status),No,No,2024-03-12 00:00:00,Ratified in CCB on 3/8. Does not need to be taken to OSC/CL again,,,,,,,,,,Design,Tower,2024-03-12 00:00:00,"03, 2024","03, 2024","03, 2024",2024-03-01 00:00:00,0.0,< 15 Days,chgorantla@deloitte.com,Yes,No,,No Objects,,In Progress,No,
R2 (Aug 2025),R2,INT-CR0014,Approved,,ERP,R2 (Release 2),High,07. FTS IF,7.4 FTS IF - EWM,Yes,"04. OTC IF
07. FTS IF",Daniel Mahoney,,,,,,,,,,,,Additional Logistics L2/L3 to be included in R2 sprint plan,"The R2 sprint plan will require additional Logistics L2's and L3's to receive and manage products at EWM warehouses.​ Additional L2's are core FTS process, and a new FTS sprint plan will be needed.","EWM warehouses will be setup as part of R2 Release. In order to move inventory from factory into EWM warehouses we will need to add Logistics Inventory receiving L2 and L3's into the sprint plan to facilitate the design discussions.
4 L2's and associated 31 L3's
L2's - Receive Materials and services, Receive and Put away, Manage Lots/Batches, Internal storage and inventory movement.",,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/OTC/R2/INT-CR0014_OTC_CR%20Deck_R2.pptx?d=w41ad2811936841cdab3d26bd4ff5f4c5&csf=1&web=1&e=gua7ji,,1. Process Scope / Design Change,,,Medium,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,04. Tower/Horizontal Approved (end status),No,No,2024-03-12 00:00:00,Ratified in CCB on 3/8. Will be an Inform for OSC/CL on 3/12.,,,,,,,,,,Design,Tower,2024-03-12 00:00:00,"03, 2024","03, 2024","03, 2024",2024-03-05 00:00:00,0.0,< 15 Days,maheshgowda@deloitte.com,Yes,No,,No Objects,,In Progress,No,
,,INT-CR0015,Cancelled,,ERP,R3 (Release 3),Medium,05. OTC IP,5.9 OTC IP - GTS,,,Dawn L Kahane,,,,,,,,,,,,Trade DFC Apps – SPT/CTM/MHB,Migrate DFC Apps IAPM #7799 X-Border Import-Export Tracker (SPT/CTM/MHB) from ICX platform to ERP,ICX is EOL’ng EO 2027. The ICX platform is not compatible with S/4 or GTS E4H. The applications capability is required for Duty Free Compliance.,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,"From: Hogg, Richard <richard.hogg@intel.com>
Decision made based on Jeff/Keyvan 1:1
We will not be “Migrating DFC Apps IAPM #7799 X-Border Import-Export Tracker (SPT/CTM/MHB) from ICX platform to ERP”, instead  we will be rebuilding it as a boundary app as per the decision ~one month ago
Thank you
Richard",,Not Assigned,,Not Approved,#INVALID OPERATION,"03, 2024",2024-03-15 00:00:00,0.0,< 15 Days,arpitsharma@deloitte.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0016,Approved,,ERP,R3 (Release 3),High,03. FPR,3.1 FPR – GL Close & Consolidate,,"03. FPR
06. PTP
11. Technology
17. B-App",achandrasekaran@deloitte.com,,,,,,,,,,,,Blackline vs CFIN JE Tool,To migrate Journal Posting Capability from Blackline to S4 (CFIN) as standard JE tool; eliminating Blackline-JET boundary apps,"Standardized, leading approach to leverage standard S4 capability Transform and streamline process and eliminate boundary apps Blackline-JET​

Positive LT ROI of ~$200K yearly (after year 2026). ST once off cost ($142K)  in 2024/2025 to re-engineer BL automated JE in S4 directly​

Easier to maintain and configure workflow, reduce dependency on vendor & reduce enhancement cost​",,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B1BABD50A-5F90-470E-8FFE-90799A52D36F%7D&file=BL%20to%20S4%20JE%20posting_FPR_CR%20Deck_template.pptx&action=edit&mobileredirect=true,,1. Process Scope / Design Change,,,Low,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,10. OSC/CL Approved (end status),Yes,No,2024-03-28 00:00:00,,,,2024-04-05 00:00:00,Approved,,,,,,Design,CL/OSC,2024-04-05 00:00:00,"04, 2024","04, 2024","04, 2024",2024-04-05 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,Yes,No,,No Objects,,In Progress,No,
,,INT-CR0017,Cancelled,,ERP,R2 (Release 2),High,03. FPR,3.6 FPR - Cost and Profitability Analysis,,03. FPR,suresavula@deloitte.com,,,,,,,,,,,,Shared Services Allocations (SSA) - PaPM,Additional scope for Profitability and Performance Management (PaPM) team to complete Shared Services Allocations based on the business requirement to keep the allocation process simple and the financial postings are only to be done in Company Code = 100 and at the Profit Center level.,Business need is for all SSA spending to go with one company code = 100. This is not possible in S/4. PaPM allows flexibility to do this without creating multiple allocation cycles for each Legal Entity. Both Plan/Forecast and Actual allocations will be handled via PaPM.,,No,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/FPR/INT-CR0017%20-%20SSA_PaPM%20FPR_CR%20Deck%20template.pptx?d=w144dcbc4dec54cc99931307053521516&csf=1&web=1&e=DeIpFa,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,,,Not Assigned,,Not Approved,#INVALID OPERATION,"04, 2024",2024-04-06 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0018,Approved,,ERP,R5+ (Post Release 5),Low,07. FTS IF,7.1 FTS IF - ALL,,,Shamin A Shirodkar,,,,,,,,,,,,Replacement of SAP ME,Replace SAP ME with SAP DMC or one of MES300/,SIMS BU uses SAP ME which is integrated to SAP ECC. As part of the IAO ERP program a decision was taken to keep SAP ME and not replace during IAO timelines. At some point before 2030 a transition will be needed to SAP DMC.,,No,,,,,1. Process Scope / Design Change,,,Very High,0.0,4.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,10. OSC/CL Approved (end status),Yes,Yes,2024-03-04 00:00:00,,,,2024-03-04 00:00:00,,,,2024-03-04 00:00:00,,,Design,MRC,,"03, 2024","03, 2024","04, 2024",2024-04-06 00:00:00,0.0,< 15 Days,againda@deloitte.com,,No,,No Objects,,In Progress,No,
,,INT-CR0019,Cancelled,,ERP,R5+ (Post Release 5),Medium,04. OTC IF,4.1 OTC IF - ALL,,"09A. Master Data
09B. Data Migration",Shelly Lafree,,,,,,,,,,,,Eliminate Duplicate Customer ID,Systematically eliminate use cases for multiple customer ids by exploring various options including implementing sales contracts,Mitigate negative impact of duplicate customer IDs including negative impacts to Intel Compliance program,,No,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,N/A,,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,,,,0.0,16. Cancelled by Requestor Tower,,,,,,,,,,,,,"As per OTC PM, this CR is no longer needed as there will not be any additional changes from OTC for customer master data design.",,Not Assigned,,Not Approved,#INVALID OPERATION,"04, 2024",2024-04-06 00:00:00,0.0,< 15 Days,againda@deloitte.com,,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0020,Approved,,ERP,"R3 (Release 3)
R4 (Release 4)",High,01. PMO,1.1 PMO - ERP PMO,,"03. FPR
04. OTC IF
07. FTS IF
09A. Master Data",Anand Jha,,,,,,,,,,,,Plant Maintenance effort for SWAP (WIINGS),,,,Yes,,,,,1. Process Scope / Design Change,,,Very High,0.0,4.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,14. MRC Approved (end status),Yes,Yes,2024-05-24 00:00:00,,,,2024-05-24 00:00:00,,,,2024-05-24 00:00:00,,,Design,MRC,,"05, 2024","05, 2024","04, 2024",2024-04-27 00:00:00,0.0,< 15 Days,againda@deloitte.com,Yes,No,,No Objects,,In Progress,No,
R3 (Feb 2027),R3 ITC1,INT-CR0021,Approved,,ERP,"R3 (Release 3)
R4 (Release 4)",High,02. E2E Process Integration,2.2 E2E Process Integration - Solution Architecture,,"06. PTP
07. FTS IF
09A. Master Data
09B. Data Migration
13. Security",surnagarajan@deloitte.com,,,,,,,,,,,,Spares - Quality Management,SIMS business is currently using SAP QM functionalities to manage incoming (purchased items from vendor) quality inspection process which is currently deemed out of scope for the program. This change request is for bringing the SIMS quality management functionality into scope.,Without addressing this the critical quality management process for purchased items cannot be performed.,,Yes,,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/01.%20PMO/05.%20Scope%20and%20Change%20Control/Change%20Control/Change%20Request%20Decks/E2E/CR0021_E2E_CR%20Deck_SIMS%20QM.pptx?d=w5d417a069f0b42f7add6d42f9fd310df&csf=1&web=1&e=QYYNlS,,1. Process Scope / Design Change,,,Medium,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,N/A,No,,0.0,TBD,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,N/A,0.0,,0.0,,0.0,,0.0,N/A,,,0.0,10. OSC/CL Approved (end status),Yes,Yes,2024-06-06 00:00:00,Change request description being modified. It was determined that there is no need for QM for SIMS. The only need is for QM for Spares. Analysis has been completed by the PTP team and this CR will be rereviewed in OSC/CL on WW37.2,,,2024-09-25 00:00:00,Approved,,,2024-03-04 00:00:00,,,Design,MRC,,"03, 2024","03, 2024","05, 2024",2024-05-14 00:00:00,0.0,< 15 Days,web-form@smartsheet.com,Yes,No,,No Objects,,In Progress,No,
