Scope,Console ID,Current Console ID (Auto generated),GAP ID,CR ID,Tower Name,Release Name,GPO Lead,Process Sub-Lead,Business Unit,IT Tower Lead,RICEFW Type,Deloitte Tower Lead,RICEFW Description/ Short Text,B-App IAPM ID,B-App Name,L3 Process Code,L3 Design Sprint End,FS Responsible Team,TDD Responsible Team,RICEFW Intake Form Status,RICEFW Intake Form Link,Process Steward,Created By,Comments,Status,RICEFW ID,Intimation Alert,Row Id,CR Creation Date,Created
01. IAO ERP,1.0,1000.0,O-020-0001,,04. OTC IF,02.R2,Jill Matalon,0,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Validation - Capture Order,,,O-020-010,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:b:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/30%20RICEFW%20Processed%20(Approved)/O-020-0001_Capture%20Order%20Validation_Create%20%26%20Change_Approved.pdf?csf=1&web=1&e=rSZEo4,,Sindhuja Gangireddy,"Multiple requirements ->Complexity deemed as 'High'
Reference to Desc: 
O-020-0001_1 - Payment term validation
O-020-0001_2 - Order type determination
O-020-0001_3 - Duplicate PO check conditional bypass
O-020-0006_2 - Validation of the MMID during  Order Capture via EDI",03.Processed,OTCE0001,,,,2024-03-26 02:19:16
01. IAO ERP,2.0,1001.0,O-060-0001,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Shripad Deshpande,Duplicate PO check for Order Create/Change,,,O-060-170,R3 Design Sprint 7,01.Deloitte,01.Deloitte,,,,,"Cancelled- Confirmed with Jason C 6/4 cancelled.
Reference to Desc: 
O-020-0001_1 - Payment term validation (Customer PO vs Customer master)
O-020-0001_3 - Duplicate PO check conditional bypass",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,3.0,1002.0,O-020-0003,,04. OTC IF,03.R3,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Shripad Deshpande,Risk Waiver check,,,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,,,Jason Carmichael,,"6/4 per Jason C, is not planned for R2 or R3.",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,4.0,1003.0,O-020-0005,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Ravi Vishwanathan,Populate Incoterms and Shipping conditions from Ship to party,,,O-020-010,R3 Design Sprint 8,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:b:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/11.%20Technology/RICEFW/30%20RICEFW%20Processed%20(Approved)/O-020-0005_OTC_RICEFW%20Intake%20Form_v1.0_Approved.pdf?csf=1&web=1&e=V9Hcle,,Naman Parti,,03.Processed,OTCE0002,,,,2024-03-26 02:19:16
01. IAO ERP,5.0,1004.0,O-060-0003,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Shripad Deshpande,Pop up for sales order field changes  & order reason update,,,O-060-170,R3 Design Sprint 7,01.Deloitte,01.Deloitte,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Order%20Management/Filled%20RICEFW%20Templates/O-060-0003_OTC_RICEFW%20Intake%20Form_v1.0_Approved.pptx?d=we0ed6845483f48bd9fea182cd18df60e&csf=1&web=1&e=gd6BVo,,,"As per Naman's email (OTC-OM) , marking this Requirement Inactive. Confirmed with Jason C 6/4 cancelled.",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,6.0,1005.0,O-060-0002,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,04.Enhancement,Shripad Deshpande,System check for NCNR flag at Order line-item level,,,O-060-180,R3 Design Sprint 6,01.Deloitte,01.Deloitte,,,,,"Cancelled
Confirmed with Jason C 6/4 cancelled.",01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,7.0,1006.0,O-020-0002,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,02.Interface,Shripad Deshpande,Standard order create (customer EDI),,Customer EDI,O-020-100,R3 Design Sprint 7,01.Deloitte,01.Deloitte,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Order%20Management/Filled%20RICEFW%20Templates/O-020-0002_OTC_RICEFW%20Intake%20Form_v1.0_Approved.pptx?d=we852ae76ed224dfc96ed9c8b8e95df67&csf=1&web=1&e=aL8jMY,,,Confirmed with Jason C 6/4 cancelled. Merged with O-020-0001,01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,8.0,1007.0,O-020-0004,,04. OTC IF,02.R2,Jill Matalon,,02.IF - Intel Foundry,Kevin A Brown,02.Interface,Shripad Deshpande,Customer Contract create (Customer EDI),,,O-020-120,#NO MATCH,01.Deloitte,01.Deloitte,,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/04.%20OTC%20TMGF/2%20Sprint%20detailed%20plans/Phase%201%20Detailed%20design%20%26%20Sprint%20Planning/Workshops/Order%20Management/Filled%20RICEFW%20Templates/O-020-0004_OTC_RICEFW%20Intake%20Form_v1.0.pptx?d=w0cfe023f1bbd4a8191d7148e21b7e5e5&csf=1&web=1&e=0Egvmu,,,Confirmed with Jason C 6/4 cancelled.,01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,9.0,1008.0,15.0,,03. FPR,03.R3,Angela Wolf,,02.IF - Intel Foundry,Bharath PLVN,01.Report,Prabesh Acharya,Trial balance extract to be loaded to provision software,,,DC-060-150,R3 Design Sprint 7,01.Deloitte,01.Deloitte,01.Pending alignment with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/_layouts/15/Doc.aspx?sourcedoc=%7B9EE701BE-ACEB-4392-981D-C9133E3A12A5%7D&file=15_FPR_RICEFW%20Intake%20Form_v1.0.pptx&action=edit&mobileredirect=true,,Alexis Raeanne Foster,No longer needed,01.inactive,,,,,2024-03-26 01:48:23
01. IAO ERP,10.0,1009.0,MDM-130-0001,,09A. Master Data,02.R2,Rebecca Verette,Jim Midkiff,02.IF - Intel Foundry,Candice S Linnell,02.Interface,Karthik Subramanian,Create/Change Customer Master Interface from Reltio to MDG,25490.0,Reltio,MDM-130-050,#NO MATCH,01.Deloitte,01.Deloitte,02.Aligned with GPO,https://intel.sharepoint.com/:p:/r/sites/inteldeloitteiao/Shared%20Documents/General/Implementation/09.%20Data/5%20Working%20Documents/2%20Customer%20Master/RICEFW%20Intake%20form/MDM-130-050_001%20Create%20or%20Change%20Customer%20Master%20Interface.pptx?d=wc4e23dea6522421788c9b5bf6c474815&csf=1&web=1&e=ZbB1cP,,,"RICEFW Desc captured in Intake form:
Interface to receive Customer Master attributes from Reltio to MDG.
6/12: This was aligned w/Candi on 6/7 in Master Data RICEFW review.",01.inactive,,,,,2024-03-26 01:48:23
